Region,Country,Source Name,Type,Bias / Lean,Language,Notes
Europe,Czech Republic,Parlamentní listy,Digital,Far Right,Czech,Disinformation-adjacent aggregator
Europe,Czech Republic,Česká televize (ČT),Public Broadcaster,Center,Czech,Czech Television
Europe,Hungary,Telex,Digital,Center-Left,Hungarian,Independent; est. 2020 from Index exodus
Europe,Hungary,444.hu,Digital,Center-Left,Hungarian,Independent digital
Europe,Hungary,HVG,Magazine / Digital,Center,Hungarian,Economics weekly
Europe,Hungary,Index.hu,Digital,Varies,Hungarian,Major portal; ownership changed 2020
Europe,Hungary,Magyar Nemzet,Newspaper / Digital,Right,Hungarian,Pro-Orbán; KESMA foundation
Europe,Hungary,Origo.hu,Digital,Right,Hungarian,Formerly independent; now pro-govt
Europe,Hungary,MTI,Wire Service,State-Controlled,Hungarian,State news agency; govt-controlled
Europe,Hungary,Átlátszó,Digital (Nonprofit),Center,Hungarian,Anti-corruption investigative
Europe,Hungary,Direkt36,Digital (Nonprofit),Center-Left,Hungarian,Investigative journalism
Europe,Romania,Libertatea,Newspaper / Digital,Center,Romanian,Tabloid; improved quality
Europe,Romania,Digi24,TV / Digital,Center,Romanian,RCS&RDS; 24hr news
Europe,Romania,Recorder,Digital,Center,Romanian,Video investigative journalism
Europe,Romania,HotNews.ro,Digital,Center,Romanian,Quality online news
Europe,Romania,România Liberă,Newspaper / Digital,Center-Right,Romanian,Historic daily
Europe,Romania,Rise Project,Digital (Nonprofit),Center,Romanian,Investigative nonprofit
Europe,Romania,G4Media,Digital,Center-Left,Romanian,Quality digital outlet
Europe,Bulgaria,Capital,Newspaper / Digital,Center,Bulgarian,Business weekly
Europe,Bulgaria,Dnevnik,Newspaper / Digital,Center,Bulgarian,Quality daily
Europe,Bulgaria,Mediapool,Digital,Center-Left,Bulgarian,Independent online
Europe,Bulgaria,Bivol,Digital,Center-Left,Bulgarian,Investigative; anti-corruption
Europe,Bulgaria,BNT,Public Broadcaster,Center,Bulgarian,Bulgarian National Television
Europe,Slovakia,Denník N,Digital,Center-Left,Slovak,Quality subscription daily
Europe,Slovakia,SME,Newspaper / Digital,Center,Slovak,Major quality daily
Europe,Slovakia,Aktuality.sk,Digital,Center,Slovak,Major news portal
Europe,Slovakia,RTVS,Public Broadcaster,Center,Slovak,Slovak Radio and Television
Europe,Slovakia,Hlavné správy,Digital,Far Right,Slovak,Pro-Russian disinformation flagged
Europe,Croatia,Jutarnji list,Newspaper / Digital,Center-Left,Croatian,Major daily
Europe,Croatia,Večernji list,Newspaper / Digital,Center-Right,Croatian,Conservative daily
Europe,Croatia,Index.hr,Digital,Center,Croatian,Largest digital outlet
Europe,Croatia,HRT,Public Broadcaster,Center,Croatian,Croatian Radio-Television
Europe,Croatia,Telegram.hr,Digital,Center-Left,Croatian,Quality digital
Europe,Serbia,N1,TV / Digital,Center,Serbian,CNN affiliate; independent
Europe,Serbia,Danas,Newspaper / Digital,Center-Left,Serbian,Opposition daily
Europe,Serbia,BIRN Serbia,Digital (Nonprofit),Center,Serbian,Balkan Investigative Reporting Network
Europe,Serbia,Informer,Newspaper / Digital,Right,Serbian,Pro-Vučić tabloid
Europe,Serbia,RTS,Public Broadcaster,State-Controlled,Serbian,Under govt influence
Europe,Serbia,KRIK,Digital (Nonprofit),Center,Serbian,Crime/corruption investigative
Europe,Slovenia,Delo,Newspaper / Digital,Center-Left,Slovenian,Largest daily
Europe,Slovenia,Dnevnik,Newspaper / Digital,Center,Slovenian,Quality daily
Europe,Slovenia,RTV Slovenija,Public Broadcaster,Center,Slovenian,Public broadcaster
Europe,Slovenia,Nova24TV,Digital / TV,Right,Slovenian,SDS/Janša-aligned; Hungarian funding
Europe,Slovenia,Pod črto,Digital,Center-Left,Slovenian,Fact-checking / investigative
Europe,Bosnia & Herzegovina,Dnevni Avaz,Newspaper / Digital,Center,Bosnian,Largest daily
Europe,Bosnia & Herzegovina,Oslobođenje,Newspaper / Digital,Center-Left,Bosnian,Historic multiethnic daily
Europe,Bosnia & Herzegovina,Al Jazeera Balkans,TV / Digital,Center,Bosnian/Croatian/Serbian,Regional Al Jazeera hub
Europe,Bosnia & Herzegovina,CIN (Center for Investigative Reporting),Digital (Nonprofit),Center,Bosnian,Investigative journalism
Europe,North Macedonia,Meta.mk,Digital,Center,Macedonian,Media fact-checking and analysis
Europe,North Macedonia,MIA,Wire Service,Center,Macedonian,National news agency
Europe,North Macedonia,Prizma,Digital,Center-Left,Macedonian,Investigative
Europe,Montenegro,Vijesti,Newspaper / Digital,Center,Montenegrin,Largest independent daily
Europe,Montenegro,Dan,Newspaper / Digital,Center-Right,Montenegrin,Opposition daily
Europe,Albania,Reporter.al,Digital,Center,Albanian,BIRN Albania investigative
Europe,Albania,Balkanweb,Digital,Center,Albanian,Major news portal
Europe,Albania,RTSH,Public Broadcaster,State-Controlled,Albanian,State broadcaster
Europe,Albania,Exit.al,Digital,Center,Albanian / English,Independent English-language
Europe,Kosovo,Koha Ditore,Newspaper / Digital,Center,Albanian,Major daily
Europe,Kosovo,Kallxo.com,Digital,Center,Albanian,BIRN Kosovo; anti-corruption
Europe,Kosovo,RTK,Public Broadcaster,Center,Albanian,Public broadcaster
Europe,Greece,Kathimerini,Newspaper / Digital,Center-Right,Greek,Quality broadsheet
Europe,Greece,Ta Nea,Newspaper / Digital,Center-Left,Greek,Major daily
Europe,Greece,Efimerida ton Syntakton,Newspaper / Digital,Left,Greek,Cooperative journalists' paper
Europe,Greece,ERT,Public Broadcaster,Center,Greek,Greek public broadcaster
Europe,Greece,Proto Thema,Newspaper / Digital,Center-Right,Greek,Largest Sunday paper
Europe,Greece,Inside Story,Digital,Center-Left,Greek,Investigative digital
Europe,Greece,Documento,Newspaper / Digital,Left,Greek,SYRIZA-adjacent
Europe,Cyprus,Phileleftheros,Newspaper / Digital,Center,Greek,Largest Greek-Cypriot daily
Europe,Cyprus,CyBC,Public Broadcaster,Center,Greek,Cyprus Broadcasting Corp
Europe,Malta,Times of Malta,Newspaper / Digital,Center,English,Leading daily
Europe,Malta,The Shift News,Digital,Center,English,Investigative; Daphne legacy
Europe,Malta,MaltaToday,Newspaper / Digital,Center,English,Second daily
Europe,Estonia,Postimees,Newspaper / Digital,Center,Estonian,Largest daily
Europe,Estonia,Delfi Estonia,Digital,Center,Estonian,Major portal
Europe,Estonia,ERR,Public Broadcaster,Center,Estonian,Estonian Public Broadcasting
Europe,Estonia,Eesti Päevaleht,Newspaper / Digital,Center-Left,Estonian,Quality daily
Europe,Latvia,Delfi Latvia,Digital,Center,Latvian,Major portal
Europe,Latvia,LSM (Latvian Public Media),Public Broadcaster,Center,Latvian,Public media
Europe,Latvia,IR,Magazine / Digital,Center,Latvian,Quality newsweekly
Europe,Latvia,Re:Baltica,Digital (Nonprofit),Center,Latvian / English,Investigative journalism
Europe,Lithuania,Delfi Lithuania,Digital,Center,Lithuanian,Major portal
Europe,Lithuania,15min.lt,Digital,Center,Lithuanian,Leading news portal
Europe,Lithuania,LRT,Public Broadcaster,Center,Lithuanian,Lithuanian Radio and Television
Europe,Lithuania,Siena,Digital,Center-Left,Lithuanian,Investigative
Europe,Ukraine,Ukrainska Pravda,Digital,Center,Ukrainian,Leading digital; founded by Gongadze
Europe,Ukraine,Hromadske,TV / Digital,Center-Left,Ukrainian,Independent public interest
Europe,Ukraine,NV (Novoye Vremya),Magazine / Digital,Center,Ukrainian,Quality newsmagazine
Europe,Ukraine,Kyiv Independent,Digital,Center,English,English-language; from Kyiv Post staff
Europe,Ukraine,UNIAN,Wire Service,Center,Ukrainian,Independent news agency
Europe,Ukraine,Babel,Digital,Center-Left,Ukrainian,Independent media
Europe,Ukraine,ZN.UA (Dzerkalo Tyzhnia),Newspaper / Digital,Center,Ukrainian,Quality weekly
Europe,Ukraine,Suspilne,Public Broadcaster,Center,Ukrainian,Ukrainian Public Broadcasting
Europe,Moldova,ZdG (Ziarul de Gardă),Digital,Center,Romanian,Investigative journalism
Europe,Moldova,NewsMaker,Digital,Center,Russian / Romanian,Quality bilingual outlet
Europe,Moldova,TV8,TV / Digital,Center,Romanian / Russian,Independent TV
Europe,Georgia,Civil.ge,Digital,Center,English / Georgian,English-language; civil society
Europe,Georgia,Mtavari Arkhi,TV / Digital,Center-Left,Georgian,Opposition TV channel
Europe,Georgia,On.ge,Digital,Center,Georgian,Quality digital outlet
Europe,Georgia,Imedi TV,TV,Right,Georgian,Pro-Georgian Dream ruling party
Europe,Georgia,GPB (Georgian Public Broadcasting),Public Broadcaster,Center,Georgian,State broadcaster
Europe,Armenia,Civilnet,Digital,Center,Armenian / English,Independent media; CivilNet.am
Europe,Armenia,Hetq,Digital,Center,Armenian,Investigative journalism
Europe,Armenia,Armenian Public TV,Public Broadcaster,Center,Armenian,State broadcaster
Europe,Azerbaijan,Meydan TV,Digital,Center,Azerbaijani,Berlin-based independent; critical
Europe,Azerbaijan,OCCRP (Azerbaijani coverage),Digital (Nonprofit),Center,English,Cross-border investigative
Europe,Azerbaijan,APA,Wire Service,State-Controlled,Azerbaijani,State news agency
Europe,Azerbaijan,AzTV,Public Broadcaster,State-Controlled,Azerbaijani,State-controlled broadcaster
Europe,Belarus,Nasha Niva,Digital,Center-Left,Belarusian,Independent; editors imprisoned
Europe,Belarus,NEXTA,Digital (Telegram),Center,Belarusian / Russian,Telegram channel; exile media
Europe,Belarus,BelTA,Wire Service,State-Controlled,Belarusian / Russian,State news agency
Europe,Belarus,Zerkalo.io,Digital,Center,Russian,Exile successor to TUT.by
Europe,Russia,TASS,Wire Service,State-Controlled,Russian,State wire service
Europe,Russia,RIA Novosti,Wire Service,State-Controlled,Russian,State media
Europe,Russia,RT (Russia Today),TV / Digital,State-Controlled,Russian / Multi,International propaganda arm
Europe,Russia,Channel One / Perviy Kanal,TV,State-Controlled,Russian,Main state TV channel
Europe,Russia,Novaya Gazeta,Newspaper / Digital,Center-Left,Russian,Independent (suspended 2022); Muratov Nobel laureate
Europe,Russia,Meduza,Digital,Center,Russian / English,"Riga-based exile media; designated ""undesirable"""
Europe,Russia,The Moscow Times,Digital,Center,English,English-language; moved abroad
Europe,Russia,Mediazona,Digital,Center-Left,Russian,Human rights / prison coverage; Pussy Riot-founded
Europe,Russia,iStories (Важные истории),Digital,Center,Russian,Investigative; exile-based
Europe,Russia,Kommersant,Newspaper / Digital,Center-Right,Russian,Business daily; Usmanov-owned
Europe,Russia,Vedomosti,Newspaper / Digital,Center,Russian,Business daily (editorial independence eroded)
Europe,Russia,Interfax,Wire Service,Center,Russian,Semi-independent wire service
Asia,China,Xinhua,Wire Service,State-Controlled,Chinese / Multi,State news agency; global reach
Asia,China,People's Daily,Newspaper / Digital,State-Controlled,Chinese,CCP official organ
Asia,China,CGTN,TV / Digital,State-Controlled,Chinese / Multi,International state TV
Asia,China,Global Times,Newspaper / Digital,State-Controlled,Chinese / English,Nationalist tabloid; People's Daily subsidiary
Asia,China,CCTV,TV,State-Controlled,Chinese,Central state television
Asia,China,Caixin,Magazine / Digital,Center,Chinese / English,Business; relatively independent investigative
Asia,China,The Paper (Pengpai),Digital,Center,Chinese,State-linked but quality journalism
Asia,China,South China Morning Post,Newspaper / Digital,Center,English,HK-based; Alibaba-owned; significant self-censorship
Asia,China,China Daily,Newspaper / Digital,State-Controlled,English,English-language state media
Asia,Hong Kong,Hong Kong Free Press,Digital,Center,English,Independent; nonprofit
Asia,Hong Kong,The Standard,Newspaper / Digital,Center,English,Free English daily
Asia,Hong Kong,RTHK,Public Broadcaster,Center,Cantonese / English,Public broadcaster; editorial independence eroded post-2020
Asia,Hong Kong,Ming Pao,Newspaper / Digital,Center,Chinese,Quality broadsheet
Asia,Hong Kong,Stand News (shuttered 2021),Digital,Center-Left,Chinese,Closed under national security law
Asia,Taiwan,Liberty Times,Newspaper / Digital,Center-Left,Chinese,Pro-DPP; largest daily
Asia,Taiwan,United Daily News,Newspaper / Digital,Center-Right,Chinese,Pro-KMT
Asia,Taiwan,China Times,Newspaper / Digital,Right,Chinese,Want Want Group; pro-PRC leaning
Asia,Taiwan,Apple Daily Taiwan,Digital,Center,Chinese,Tabloid; Next Digital (restructured)
Asia,Taiwan,CNA (Central News Agency),Wire Service,Center,Chinese / English,National news agency
Asia,Taiwan,The Reporter (報導者),Digital (Nonprofit),Center-Left,Chinese,Investigative nonprofit
Asia,Taiwan,Taipei Times,Newspaper / Digital,Center-Left,English,English-language; Liberty Times sister
Asia,Taiwan,CommonWealth Magazine,Magazine / Digital,Center,Chinese,Business/policy analysis
Asia,Japan,The Asahi Shimbun,Newspaper / Digital,Center-Left,Japanese,Liberal broadsheet
Asia,Japan,The Yomiuri Shimbun,Newspaper / Digital,Center-Right,Japanese,World's largest circulation daily
Asia,Japan,The Mainichi Shimbun,Newspaper / Digital,Center-Left,Japanese,Liberal daily
Asia,Japan,Nikkei (Nihon Keizai Shimbun),Newspaper / Digital,Center-Right,Japanese,Business daily; FT owner
Asia,Japan,Sankei Shimbun,Newspaper / Digital,Right,Japanese,Conservative; nationalist leaning
Asia,Japan,NHK,Public Broadcaster,Center,Japanese,Japan Broadcasting Corp
Asia,Japan,Kyodo News,Wire Service,Center,Japanese,Cooperative wire service
Asia,Japan,Jiji Press,Wire Service,Center,Japanese,Second wire service
Asia,Japan,The Japan Times,Newspaper / Digital,Center,English,Oldest English-language daily
Asia,Japan,Tokyo Shimbun,Newspaper / Digital,Left,Japanese,Progressive; critical of govt
Asia,Japan,Tōyō Keizai,Magazine / Digital,Center,Japanese,Business weekly
Asia,South Korea,Chosun Ilbo,Newspaper / Digital,Right,Korean,Largest conservative daily
Asia,South Korea,JoongAng Ilbo,Newspaper / Digital,Center-Right,Korean,Centrist-conservative; Samsung-founded
Asia,South Korea,Dong-A Ilbo,Newspaper / Digital,Center-Right,Korean,Conservative daily
Asia,South Korea,Hankyoreh,Newspaper / Digital,Left,Korean,Progressive; employee-owned
Asia,South Korea,Kyunghyang Shinmun,Newspaper / Digital,Center-Left,Korean,Progressive daily
Asia,South Korea,KBS,Public Broadcaster,Center,Korean,Korean Broadcasting System
Asia,South Korea,MBC,Public Broadcaster,Center-Left,Korean,Munhwa Broadcasting Corp
Asia,South Korea,SBS,TV / Digital,Center,Korean,Private broadcaster
Asia,South Korea,Yonhap News,Wire Service,Center,Korean,National wire service
Asia,South Korea,The Korea Herald,Newspaper / Digital,Center,English,English-language daily
Asia,South Korea,Newstapa,Digital (Nonprofit),Center-Left,Korean,Investigative; crowdfunded
Asia,South Korea,OhmyNews,Digital,Left,Korean,Citizen journalism pioneer
Asia,North Korea,KCNA,Wire Service,State-Controlled,Korean,Official state news agency
Asia,North Korea,Rodong Sinmun,Newspaper,State-Controlled,Korean,Workers' Party organ
Asia,Mongolia,Montsame,Wire Service,Center,Mongolian,State news agency
Asia,Mongolia,UB Post,Newspaper / Digital,Center,English,English-language daily
Asia,Mongolia,news.mn,Digital,Center,Mongolian,Major portal
Asia,Singapore,The Straits Times,Newspaper / Digital,Center-Right,English,SPH Media; dominant; govt-aligned
Asia,Singapore,Channel NewsAsia (CNA),TV / Digital,Center,English,Mediacorp; regional reach
Asia,Singapore,TODAY,Digital,Center,English,Mediacorp; free daily gone digital
Asia,Singapore,Mothership,Digital,Center,English,Digital native
Asia,Singapore,The Online Citizen,Digital,Center-Left,English,Independent; govt-targeted
Asia,Singapore,Lianhe Zaobao,Newspaper / Digital,Center,Chinese,Largest Chinese-language outside PRC/TW
Asia,Malaysia,The Star,Newspaper / Digital,Center,English,MCA-linked; largest English
Asia,Malaysia,New Straits Times,Newspaper / Digital,Center-Right,English,UMNO-linked
Asia,Malaysia,Malaysiakini,Digital,Center-Left,English / Malay,Independent digital; Steven Gan
Asia,Malaysia,The Edge,Newspaper / Digital,Center,English,Business focus
Asia,Malaysia,Free Malaysia Today,Digital,Center,English / Malay,Independent
Asia,Malaysia,Utusan Malaysia,Newspaper / Digital,Right,Malay,Malay-nationalist; UMNO
Asia,Malaysia,Sinar Harian,Newspaper / Digital,Center,Malay,Largest Malay daily
Asia,Indonesia,Kompas,Newspaper / Digital,Center,Indonesian,Largest quality daily
Asia,Indonesia,Tempo,Magazine / Digital,Center-Left,Indonesian / English,Investigative newsmagazine
Asia,Indonesia,The Jakarta Post,Newspaper / Digital,Center,English,English-language daily
Asia,Indonesia,Detik.com,Digital,Center,Indonesian,Largest digital portal
Asia,Indonesia,Tirto.id,Digital,Center-Left,Indonesian,Data-driven journalism
Asia,Indonesia,CNN Indonesia,TV / Digital,Center,Indonesian,Trans Media
Asia,Indonesia,Antara,Wire Service,Center,Indonesian,National news agency
Asia,Indonesia,Republika,Newspaper / Digital,Center-Right,Indonesian,Islamic-oriented daily
Asia,Indonesia,Koran Tempo,Newspaper / Digital,Center-Left,Indonesian,Daily edition of Tempo
Asia,Indonesia,Project Multatuli,Digital,Center-Left,Indonesian,Investigative nonprofit
Asia,Philippines,Philippine Daily Inquirer,Newspaper / Digital,Center-Left,English,Largest quality daily
Asia,Philippines,Philippine Star,Newspaper / Digital,Center,English,Second major daily
Asia,Philippines,Rappler,Digital,Center-Left,English,Maria Ressa; Nobel laureate; targeted
Asia,Philippines,ABS-CBN,TV / Digital,Center,Filipino / English,Major network (franchise issues)
Asia,Philippines,GMA News,TV / Digital,Center,Filipino / English,Major broadcast network
Asia,Philippines,Manila Bulletin,Newspaper / Digital,Center-Right,English,Oldest; establishment-friendly
Asia,Philippines,PCIJ,Digital (Nonprofit),Center-Left,English,Philippine Center for Investigative Journalism
Asia,Philippines,Manila Times,Newspaper / Digital,Right,English,Pro-administration
Asia,Thailand,Bangkok Post,Newspaper / Digital,Center,English,English-language daily
Asia,Thailand,The Nation (Thailand),Newspaper / Digital,Center-Right,English,English-language; restructured
Asia,Thailand,Matichon,Newspaper / Digital,Center-Left,Thai,Quality daily
Asia,Thailand,Thai PBS,Public Broadcaster,Center,Thai,Independent public broadcaster
Asia,Thailand,Prachatai,Digital,Left,Thai / English,Independent; human rights focus
Asia,Thailand,Khaosod English,Digital,Center-Left,English,English arm of Thai daily
Asia,Thailand,The Standard (TH),Digital,Center,Thai,Digital media
Asia,Thailand,Manager Daily,Newspaper / Digital,Right,Thai,Royalist conservative
Asia,Vietnam,VnExpress,Digital,State-Controlled,Vietnamese,Largest portal; state-approved
Asia,Vietnam,Tuổi Trẻ,Newspaper / Digital,State-Controlled,Vietnamese,Youth league paper; relatively dynamic
Asia,Vietnam,VietnamNet,Digital,State-Controlled,Vietnamese / English,Ministry-owned portal
Asia,Vietnam,VNA (Vietnam News Agency),Wire Service,State-Controlled,Vietnamese,Official state wire
Asia,Vietnam,The Vietnamese,Digital,Center,Vietnamese,Exile media; overseas-based
Asia,Myanmar,The Irrawaddy,Digital,Center,Burmese / English,Exile/independent; critical of junta
Asia,Myanmar,Myanmar Now,Digital,Center,Burmese / English,Independent; underground since coup
Asia,Myanmar,Mizzima,Digital,Center,Burmese / English,Independent
Asia,Myanmar,Global New Light of Myanmar,Newspaper,State-Controlled,English,Junta state paper
Asia,Myanmar,Democratic Voice of Burma (DVB),Digital / TV,Center-Left,Burmese,Exile-operated independent
Asia,Cambodia,VOD (Voice of Democracy),Digital / Radio,Center,Khmer,Independent (shutdown ordered 2023)
Asia,Cambodia,Cambodia Daily,Digital,Center-Left,English,Closed 2017; online intermittent
Asia,Cambodia,Phnom Penh Post,Newspaper / Digital,Center,English,Sold 2018; independence questioned
Asia,Cambodia,CamboJA,Digital,Center,Khmer / English,Journalism association media
Asia,Laos,Vientiane Times,Newspaper / Digital,State-Controlled,English,State-run English daily
Asia,Laos,KPL (Lao News Agency),Wire Service,State-Controlled,Lao,State news agency
Asia,Brunei,Borneo Bulletin,Newspaper / Digital,State-Controlled,English,Only English daily; restricted press
Asia,Timor-Leste,Tatoli,Wire Service,Center,Portuguese / Tetum,National news agency
Asia,Timor-Leste,Tempo Timor,Digital,Center,Tetum / Portuguese,Independent
Asia,India,The Hindu,Newspaper / Digital,Center-Left,English,Chennai-based; quality broadsheet
Asia,India,The Times of India,Newspaper / Digital,Center,English,Largest English daily globally
Asia,India,Hindustan Times,Newspaper / Digital,Center,English,Second largest English
Asia,India,The Indian Express,Newspaper / Digital,Center,English,Strong investigative tradition
Asia,India,The Economic Times,Newspaper / Digital,Center-Right,English,Business daily; Times Group
Asia,India,NDTV,TV / Digital,Center-Left,English / Hindi,Now Adani-owned; was independent
Asia,India,Republic TV,TV / Digital,Right,English / Hindi,Pro-BJP; Arnab Goswami
Asia,India,Times Now,TV / Digital,Right,English,Times Network; pro-govt lean
Asia,India,India Today,Magazine / TV / Digital,Center,English / Hindi,Major media group
Asia,India,The Wire,Digital,Center-Left,English,"Independent; MK Venu, Siddharth Varadarajan"
Asia,India,Scroll.in,Digital,Center-Left,English,Independent digital
Asia,India,The Quint,Digital,Center-Left,English,Digital-first
Asia,India,Newslaundry,Digital,Center-Left,English,Media criticism; subscriber-funded
Asia,India,OpIndia,Digital,Right,English / Hindi,Right-wing; Hindutva-adjacent
Asia,India,Swarajya,Magazine / Digital,Right,English,Hindu nationalist intellectual
Asia,India,The Print,Digital,Center,English,Shekhar Gupta; balanced
Asia,India,PTI (Press Trust of India),Wire Service,Center,English,National wire service
Asia,India,Dainik Jagran,Newspaper / Digital,Center-Right,Hindi,Largest Hindi daily
Asia,India,Amar Ujala,Newspaper / Digital,Center,Hindi,Major Hindi daily
Asia,India,Dainik Bhaskar,Newspaper / Digital,Center,Hindi,Major Hindi media group
Asia,India,The News Minute,Digital,Center-Left,English,South India focused
Asia,India,Alt News,Digital,Center,English / Hindi,Fact-checking
Asia,Pakistan,Dawn,Newspaper / Digital,Center-Left,English,Leading English daily; Jang Group rival
Asia,Pakistan,The News International,Newspaper / Digital,Center,English,Jang Group
Asia,Pakistan,Geo TV,TV / Digital,Center,Urdu,Largest TV network; Jang Group
Asia,Pakistan,Express Tribune,Newspaper / Digital,Center,English,Lakson Group
Asia,Pakistan,Jang,Newspaper / Digital,Center,Urdu,Largest Urdu daily
Asia,Pakistan,ARY News,TV / Digital,Center-Right,Urdu / English,Pro-PTI/Imran Khan leaning
Asia,Pakistan,Bol News,TV / Digital,Right,Urdu,Controversy-prone; sensationalist
Asia,Pakistan,APP (Associated Press of Pakistan),Wire Service,State-Controlled,Urdu / English,State wire service
Asia,Bangladesh,The Daily Star,Newspaper / Digital,Center,English,Leading English daily
Asia,Bangladesh,Prothom Alo,Newspaper / Digital,Center,Bengali,Largest Bengali daily
Asia,Bangladesh,bdnews24.com,Digital,Center,Bengali / English,First online news outlet
Asia,Bangladesh,Dhaka Tribune,Newspaper / Digital,Center,English,Quality English daily
Asia,Bangladesh,New Age,Newspaper / Digital,Center-Left,English,Progressive daily
Asia,Bangladesh,BSS (Bangladesh Sangbad Sangstha),Wire Service,State-Controlled,Bengali,State news agency
Asia,Sri Lanka,Daily Mirror (LK),Newspaper / Digital,Center,English,Major English daily
Asia,Sri Lanka,Sunday Times (LK),Newspaper / Digital,Center,English,Wijeya Newspapers
Asia,Sri Lanka,Groundviews,Digital,Center-Left,English,Citizen journalism; CPA
Asia,Sri Lanka,Lankadeepa,Newspaper / Digital,Center,Sinhala,Largest Sinhala daily
Asia,Sri Lanka,Tamil Mirror,Newspaper / Digital,Center,Tamil,Tamil-language daily
Asia,Nepal,The Kathmandu Post,Newspaper / Digital,Center,English,Leading English daily
Asia,Nepal,Kantipur,Newspaper / Digital,Center,Nepali,Largest Nepali daily
Asia,Nepal,Republica,Newspaper / Digital,Center,English,Nagarik's English edition
Asia,Nepal,Online Khabar,Digital,Center,Nepali / English,Digital native
Asia,Afghanistan,TOLOnews,TV / Digital,Center,Dari / Pashto,Largest Afghan network; under Taliban pressure
Asia,Afghanistan,Pajhwok Afghan News,Wire Service / Digital,Center,Multi,Independent news agency
Asia,Afghanistan,Hasht-e Subh,Newspaper / Digital,Center,Dari,Largest daily; resistance-adjacent
Asia,Afghanistan,Bakhtar News Agency,Wire Service,State-Controlled,Dari / Pashto,Taliban-controlled state agency
Asia,Bhutan,Kuensel,Newspaper / Digital,Center,English / Dzongkha,National newspaper
Asia,Bhutan,BBS (Bhutan Broadcasting Service),Public Broadcaster,Center,Dzongkha,State broadcaster
Asia,Maldives,Maldives Independent,Digital,Center,English,Independent (predecessor shuttered)
Asia,Maldives,Raajje.mv,Digital,Center,Dhivehi,Digital outlet
Asia,Maldives,PSM (Public Service Media),Public Broadcaster,State-Controlled,Dhivehi,Government broadcaster
Asia,Kazakhstan,Tengrinews,Digital,Center,Kazakh / Russian,Major portal
Asia,Kazakhstan,Vlast.kz,Digital,Center-Left,Russian,Independent; analytical
Asia,Kazakhstan,Kazakh TV / Khabar,TV,State-Controlled,Kazakh,State TV
Asia,Kazakhstan,Mediazona Central Asia,Digital,Center,Russian,Investigative; prison/rights
Asia,Uzbekistan,Kun.uz,Digital,Center,Uzbek / Russian,Major portal
Asia,Uzbekistan,Gazeta.uz,Digital,Center,Uzbek / Russian,Quality digital
Asia,Uzbekistan,UzA,Wire Service,State-Controlled,Uzbek,National news agency
Asia,Kyrgyzstan,Kloop,Digital,Center-Left,Kyrgyz / Russian,Investigative (blocked/targeted)
Asia,Kyrgyzstan,Kaktus Media,Digital,Center,Russian / Kyrgyz,Independent digital
Asia,Kyrgyzstan,24.kg,Digital,Center,Russian / Kyrgyz,Major portal
Asia,Tajikistan,Asia-Plus,Newspaper / Digital,Center,Tajik / Russian,Leading independent outlet
Asia,Tajikistan,Khovar,Wire Service,State-Controlled,Tajik,National news agency
Asia,Turkmenistan,TDH (Turkmen State News),Wire Service,State-Controlled,Turkmen,State news; among most censored
Asia,Turkmenistan,Turkmen.news,Digital,Center,Russian / Turkmen,Exile-based independent
Asia,Turkmenistan,Chronicles of Turkmenistan,Digital,Center,Russian / English,Exile media
Middle East,Turkey,Hürriyet,Newspaper / Digital,Center-Right,Turkish,Demirören Group; formerly independent
Middle East,Turkey,Cumhuriyet,Newspaper / Digital,Center-Left,Turkish,Secular republican; journalists jailed
Middle East,Turkey,Sözcü,Newspaper / Digital,Center-Left,Turkish,Secularist; opposition
Middle East,Turkey,Sabah,Newspaper / Digital,Right,Turkish,Pro-AKP; Turkuaz Medya
Middle East,Turkey,Yeni Şafak,Newspaper / Digital,Right,Turkish,Islamist conservative; pro-Erdoğan
Middle East,Turkey,Bianet,Digital,Center-Left,Turkish / English,Independent; human rights focus
Middle East,Turkey,Medyascope,Digital,Center-Left,Turkish,Independent digital / YouTube
Middle East,Turkey,Ahval News,Digital,Center,Turkish / English,Exile-based independent
Middle East,Turkey,TRT World,TV / Digital,State-Controlled,Turkish / English,State broadcaster international
Middle East,Turkey,Anadolu Agency (AA),Wire Service,State-Controlled,Turkish / Multi,State wire service
Middle East,Turkey,Daily Sabah,Newspaper / Digital,Right,English,English-language pro-govt
Middle East,Turkey,Duvar,Digital,Center-Left,Turkish,Independent
Middle East,Israel,Haaretz,Newspaper / Digital,Center-Left,Hebrew / English,Liberal quality daily
Middle East,Israel,Yedioth Ahronoth / Ynet,Newspaper / Digital,Center,Hebrew,Largest daily
Middle East,Israel,Israel Hayom,Newspaper / Digital,Right,Hebrew,Free daily; pro-Netanyahu
Middle East,Israel,The Times of Israel,Digital,Center,English / Multi,English-language; David Horovitz
Middle East,Israel,The Jerusalem Post,Newspaper / Digital,Center-Right,English,English-language; right shift under ownership
Middle East,Israel,Kan,Public Broadcaster,Center,Hebrew,Israeli Public Broadcasting
Middle East,Israel,Channel 12 / 13 / 14,TV,Varies,Hebrew,Commercial TV; Ch14 is right-wing
Middle East,Israel,+972 Magazine,Digital,Left,English,Israeli-Palestinian independent
Middle East,Israel,Mako / N12,Digital / TV,Center,Hebrew,Keshet Media; Channel 12 digital
Middle East,Israel,Walla!,Digital,Center,Hebrew,Major portal
